X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	KR	realZxx_real	imagZxx_real	realZxy_real	imagZxy_real	realZyx_real	imagZyx_real	realZyy_real	imagZyy_real
5000	0	0.1	2.82E-06	-5.01E-06	0.0191253	-0.0200666	-0.0190315	0.0198998	-1.13E-05	2.98E-06	1.002190489	-1.37E-07	-9.90E-08	0.0189876	-0.0200287	-0.0190563	0.0199614	4.21E-08	-5.32E-09
6000	0	0.1	-0.000338187	0.000127073	0.013801	-0.0128846	-0.00864667	0.00896554	7.97E-05	-1.96E-05	0.308847121	-1.13E-07	-1.11E-07	0.0189831	-0.0200271	-0.0190095	0.0199999	2.52E-08	1.13E-08
7000	0	0.1	1.72E-06	-5.23E-06	0.0188777	-0.0165677	-0.0132857	0.0126272	5.08E-07	2.02E-06	0.604696409	-7.43E-08	-9.29E-08	0.0189831	-0.0200271	-0.018993	0.0200117	1.12E-08	7.14E-09
8000	0	0.1	0.000323882	-0.000131528	0.013725	-0.0128706	-0.00864161	0.00898857	-5.91E-05	2.14E-05	0.307998831	-4.08E-08	-6.21E-08	0.0189831	-0.0200271	-0.0189914	0.0200305	5.92E-09	2.68E-09
9000	0	0.1	4.52E-05	6.22E-05	0.0351899	-0.0389596	-0.0266296	0.030149	1.11E-05	-1.85E-05	2.77325702	-1.91E-08	-3.85E-08	0.0189831	-0.0200271	-0.0189878	0.020025	4.87E-09	2.83E-09
-9000	3000	0.1	-1.42E-05	-1.45E-05	0.0165361	-0.0102061	-0.0100879	0.0072448	0.000174077	2.58E-06	0.316980346	1.02E-07	-5.18E-07	0.0189831	-0.0200271	-0.0189846	0.0200229	-5.65E-08	1.78E-07
-8000	3000	0.1	-0.000175121	-9.00E-05	0.0165932	-0.0102285	-0.00336712	0.00369466	3.35E-06	1.26E-06	0.127954719	-1.58E-07	-1.60E-06	0.0189831	-0.0200271	-0.0189909	0.0200235	6.72E-08	5.17E-07
-7000	3000	0.1	-2.63E-05	-5.12E-05	0.0289099	-0.0270916	-0.0189156	0.0199413	1.99E-06	8.79E-06	1.429436102	-1.46E-06	-4.04E-06	0.0189864	-0.0200292	-0.0190043	0.0200206	5.48E-07	1.31E-06
-6000	3000	0.1	8.28E-07	-2.45E-05	0.0189967	-0.0200324	-0.0190207	0.0199448	-2.07E-06	8.92E-06	0.999012039	-4.59E-06	-8.17E-06	0.0189825	-0.0200347	-0.0190199	0.0199944	1.36E-06	2.95E-06
-5000	3000	0.1	-5.47E-06	-3.89E-05	0.018807	-0.0199955	-0.0191614	0.019882	6.67E-07	7.07E-06	0.993910135	-9.44E-06	-1.49E-05	0.0189938	-0.0200365	-0.0191255	0.0199306	2.00E-06	5.37E-06
-4000	3000	0.1	-5.99E-05	-6.32E-05	0.0269154	-0.0301524	-0.0360371	0.0387701	3.02E-06	1.97E-05	2.768063649	-1.21E-05	-2.11E-05	0.0191547	-0.0200216	-0.0195198	0.0199253	1.56E-06	6.51E-06
-3000	3000	0.1	-1.06E-05	-6.29E-05	0.0196625	-0.0216319	-0.0369786	0.0391808	4.74E-07	1.57E-06	1.965937651	1.26E-06	-8.75E-06	0.019874	-0.0201163	-0.0199812	0.0200829	-2.78E-06	2.39E-06
-2000	3000	0.1	-2.16E-05	-3.28E-05	0.0198653	-0.0215479	-0.0371431	0.0391381	2.08E-05	8.81E-06	1.967319876	1.75E-06	-5.23E-07	0.0200697	-0.0200252	-0.0200709	0.0200247	-2.20E-06	8.24E-07
-1000	3000	0.1	-6.48E-05	4.55E-05	0.028343	-0.0301839	-0.0369779	0.0390492	5.13E-05	-9.57E-07	2.772294747	-3.15E-07	-4.44E-07	0.0200723	-0.0200093	-0.0200739	0.0200048	-3.47E-08	2.04E-07
0	3000	0.1	1.42E-05	3.80E-07	0.0199896	-0.0199755	-0.0198702	0.0199149	-5.84E-06	-1.92E-06	0.989961656	-1.79E-07	1.40E-08	0.0200723	-0.0200093	-0.0200671	0.0200045	1.73E-07	-8.22E-08
1000	3000	0.1	7.16E-07	1.18E-06	0.0131686	-0.013023	-0.0200294	0.0184292	1.43E-05	-2.97E-06	0.627550007	-4.70E-07	4.83E-07	0.0200732	-0.0200125	-0.0200715	0.020006	4.45E-07	-4.94E-07
2000	3000	0.1	-3.73E-05	-1.88E-06	0.033884	-0.035351	-0.0268643	0.0282537	-9.72E-06	1.97E-06	2.375197697	-2.15E-06	3.96E-06	0.0200301	-0.0200592	-0.020048	0.0200504	1.25E-06	-1.44E-06
3000	3000	0.1	3.16E-05	3.87E-05	0.0193472	-0.0200576	-0.0198437	0.0200465	-4.06E-05	-3.44E-06	0.995432639	6.30E-06	1.77E-05	0.0194999	-0.0200798	-0.0198025	0.0200955	8.82E-07	-4.27E-06
4000	3000	0.1	1.97E-05	5.76E-05	0.0190775	-0.020118	-0.0127734	0.0135299	1.34E-06	-3.03E-06	0.674190346	1.08E-05	1.85E-05	0.0190278	-0.0200203	-0.0192619	0.019912	-1.50E-06	-7.49E-06
5000	3000	0.1	-1.30E-05	2.55E-05	0.0189811	-0.0200617	-0.0190469	0.0199253	1.91E-05	-5.98E-06	0.999482723	6.50E-06	1.02E-05	0.0189857	-0.0200368	-0.0190535	0.0199593	-1.30E-06	-3.11E-06
6000	3000	0.1	-3.23E-07	1.18E-05	0.0188354	-0.0199963	-0.0190459	0.0199793	2.81E-06	-5.13E-06	0.995595079	2.89E-06	5.92E-06	0.0189852	-0.0200297	-0.0190077	0.020008	-1.24E-06	-1.97E-06
7000	3000	0.1	-4.26E-05	-2.36E-05	0.0318142	-0.0350879	-0.0318863	0.0349017	6.13E-06	-4.00E-06	2.940289671	5.01E-07	2.66E-06	0.0189876	-0.0200287	-0.0189939	0.0200148	-1.69E-07	-8.90E-07
8000	3000	0.1	4.06E-06	6.63E-06	0.0188438	-0.0199993	-0.0190207	0.0200034	-2.45E-06	-7.30E-06	0.99583269	-1.38E-07	8.29E-07	0.0189831	-0.0200271	-0.0189902	0.0200311	7.09E-08	-2.67E-07
9000	3000	0.1	-2.05E-06	1.14E-05	0.0189128	-0.0200201	-0.0189975	0.0200215	-2.04E-07	-6.14E-06	0.998212434	-1.32E-07	2.32E-07	0.0189831	-0.0200271	-0.0189878	0.020025	5.83E-08	-7.97E-08
-9000	6000	0.1	3.39E-06	-6.38E-06	0.0188015	-0.0199761	-0.0190146	0.0200252	-2.33E-05	8.55E-06	0.994834153	5.65E-08	-6.37E-07	0.0189831	-0.0200271	-0.0189855	0.0200261	-5.46E-08	3.25E-07
-8000	6000	0.1	-3.22E-06	-1.51E-05	0.0188465	-0.0199805	-0.0190149	0.0200359	-2.28E-06	6.86E-06	0.996099152	-5.61E-07	-2.07E-06	0.0189843	-0.0200266	-0.0189903	0.0200308	3.86E-07	1.13E-06
-7000	6000	0.1	3.47E-07	-4.52E-05	0.0252774	-0.0281901	-0.0319657	0.0351619	-1.92E-05	1.31E-05	2.362354102	-2.94E-06	-4.87E-06	0.0189843	-0.0200266	-0.0189954	0.0200248	2.21E-06	2.92E-06
-6000	6000	0.1	1.86E-05	-4.60E-05	0.0187734	-0.0213085	-0.0320507	0.0353545	-4.73E-05	4.05E-05	1.779123934	-7.63E-06	-1.09E-05	0.0189879	-0.0200319	-0.0189921	0.0200227	4.97E-06	6.36E-06
-5000	6000	0.1	-7.24E-05	-4.37E-05	0.0253734	-0.0283074	-0.025456	0.0282589	6.73E-05	3.00E-05	1.897883525	-2.32E-05	-2.55E-05	0.0189922	-0.0200225	-0.0190081	0.0200183	1.65E-05	2.03E-05
-4000	6000	0.1	-7.22E-05	-6.44E-05	0.0188924	-0.0199578	-0.0190265	0.020038	0.000106052	8.63E-05	0.995926284	-5.10E-05	-3.77E-05	0.0190399	-0.0200058	-0.0190096	0.0200213	5.76E-05	3.62E-05
-3000	6000	0.1	-1.32E-05	-3.04E-05	0.0192202	-0.0199371	-0.0190017	0.0200556	8.47E-05	9.94E-05	1.000497663	-2.44E-05	-2.86E-05	0.0191823	-0.0199581	-0.0190116	0.0200426	6.28E-05	4.97E-05
-2000	6000	0.1	3.92E-07	-7.28E-06	0.0194417	-0.0198797	-0.0190064	0.0200664	2.51E-05	5.99E-05	1.005160292	-4.87E-06	-1.05E-05	0.0192373	-0.0199053	-0.0190202	0.0200277	2.00E-05	2.45E-05
-1000	6000	0.1	2.88E-06	-6.97E-06	0.0140204	-0.0127902	-0.00869448	0.00903398	2.38E-06	9.39E-06	0.311185778	-5.88E-07	-2.83E-06	0.0192498	-0.0199027	-0.0190233	0.0200188	5.52E-06	7.10E-06
0	6000	0.1	2.37E-06	1.15E-06	0.0193312	-0.0165116	-0.00866958	0.00900826	-4.79E-07	-3.48E-06	0.415778428	2.86E-07	6.35E-07	0.0192469	-0.0198967	-0.0190221	0.0200193	-1.72E-06	-1.90E-06
